DATAOBJPANEL_NONESELECTED	None
DATAOBJPANEL_NONEAVAILABLE	No cards available

DATAOBJPANEL_TYPE_CHARA	Characters
DATAOBJPANEL_TYPE_FEMALECHARA	Female Characters
DATAOBJPANEL_TYPE_MALECHARA	Male Characters
DATAOBJPANEL_TYPE_OUTFIT	Outfits
DATAOBJPANEL_TYPE_SCENE	Scenes
DATAOBJPANEL_TYPE_POSE	FK/IK Pose

DATAOBJPANEL_LOADOPTIONS	Load Options

DATAOBJPANEL_DELETE	Delete
DATAOBJPANEL_ADD	Add
DATAOBJPANEL_LOAD	Load
DATAOBJPANEL_SAVE	Save
DATAOBJPANEL_NAME	Name

DATAOBJPANEL_CANCEL	Cancel
DATAOBJPANEL_CAPTURE	Capture
DATAOBJPANEL_KEEPIMG	Keep Image

DATAOBJPANEL_LOAD_CLOTHING	Clothing
DATAOBJPANEL_LOAD_HAIR	Hair
DATAOBJPANEL_LOAD_ACC	Accessories
DATAOBJPANEL_LOAD_PROFILE	Profile
DATAOBJPANEL_LOAD_OUTFITS	Outfits
DATAOBJPANEL_LOAD_BODY	Body

DATAOBJPANEL_LOAD_MAP	Map
DATAOBJPANEL_LOAD_OBJ	Objects
DATAOBJPANEL_LOAD_BG	Background
DATAOBJPANEL_LOAD_BGM	Background Music

DATAOBJPANEL_LOAD_FK	FK
DATAOBJPANEL_LOAD_IK	IK
DATAOBJPANEL_LOAD_IKCORRECTION	IK Correction
