STUDIOCHARSETTINGS_EXPRPANEL_TITLE	表情
STUDIOCHARSETTINGS_EXPRPANEL_NONESELECTED	未选择角色
STUDIOCHARSETTINGS_EXPRPANEL_ONLYONEALLOWED	一次只能修改一个角色
STUDIOCHARSETTINGS_EXPRPANEL_NOTSUPPORTED	该角色不支持表情

STUDIOCHARSETTINGS_EXPRPANEL_EYES	眼睛
STUDIOCHARSETTINGS_EXPRPANEL_MOUTH	嘴巴

STUDIOCHARSETTINGS_EXPRPANEL_TOGGLE	切换
STUDIOCHARSETTINGS_EXPRPANEL_EXPRESSION	表情
STUDIOCHARSETTINGS_EXPRPANEL_AUTO	自动

STUDIOCHARSETTINGS_EXPRPANEL_OPENING	张开
STUDIOCHARSETTINGS_EXPRPANEL_OPENINGL	张开（左）
STUDIOCHARSETTINGS_EXPRPANEL_OPENINGR	张开（右）
STUDIOCHARSETTINGS_EXPRPANEL_SPLITOPENING	分开眼睛张开
STUDIOCHARSETTINGS_EXPRPANEL_BLINKING	眨眼
