CHARAOBJPANEL_NONESELECTED	None
CHARAOBJPANEL_NONEAVAILABLE	No objects available

CHARAOBJPANEL_SEARCH_NAME	Name
CHARAOBJPANEL_SEARCH_DESC	Description
CHARAOBJPANEL_SEARCH_TAGS	Tags

CHARAOBJLAYERPANEL_REMOVE	Remove
CHARAOBJLAYERPANEL_EDIT	Edit

CHARAOBJEDITPANEL_HEADER_COLORS	Colors
CHARAOBJEDITPANEL_HEADER_TRANSFORM	Transform
CHARAOBJEDITPANEL_HEADER_ACCESSORY	Accessory
CHARAOBJEDITPANEL_HEADER_TEXTURE	Texture

CHARAOBJEDITPANEL_PARENT	Parent:
CHARAOBJEDITPANEL_BOUNDCLOTHING	Bound Clothing:
CHARAOBJEDITPANEL_GIZMO	Movement Gizmo
CHARAOBJEDITPANEL_DISPLAY	Display
CHARAOBJEDITPANEL_NONESELECTED	None
CHARAOBJEDITPANEL_VISIBILITY	Visibility
CHARAOBJEDITPANEL_VISIBILITY_ESSENTIAL	Essential
CHARAOBJEDITPANEL_VISIBILITY_IMPORTANT	Important
CHARAOBJEDITPANEL_VISIBILITY_UNIMPORTANT	Unimportant
CHARAOBJEDITPANEL_RESET	Reset
CHARAOBJEDITPANEL_EXPORT	Export
CHARAOBJEDITPANEL_SYNCCOLORSTOBODY	Sync colors to body
CHARAOBJEDITPANEL_SYNCCOLORSTOFACE	Sync colors to face
