SETTINGS_PAGE_AUDIO_HEADER_MASTER	Master Volume
SETTINGS_PAGE_AUDIO_HEADER_VOLUME	Volume Settings
SETTINGS_PAGE_AUDIO_HEADER_SOUND	Sound Options

SETTINGS_PAGE_AUDIO_MASTER	Master Volume
SETTINGS_PAGE_AUDIO_MAINBGM	Main BGM
SETTINGS_PAGE_AUDIO_OTHERBGM	Other BGM
SETTINGS_PAGE_AUDIO_SYSTEM	System
SETTINGS_PAGE_AUDIO_SFX	Sound Effects

SETTINGS_PAGE_AUDIO_ITEM_A	Specific Item A
SETTINGS_PAGE_AUDIO_ITEM_B	Specific Item B
SETTINGS_PAGE_AUDIO_ITEM_C	Specific Item C

SETTINGS_PAGE_AUDIO_MUSIC	Music
SETTINGS_PAGE_AUDIO_OBJECTS	Objects
SETTINGS_PAGE_AUDIO_ENVIRONMENT	Environment
SETTINGS_PAGE_AUDIO_VOICE	Voice
