SETTINGS_PAGE_AUDIO_HEADER_MASTER	Gesamtlautstärke
SETTINGS_PAGE_AUDIO_HEADER_VOLUME	Lautstärkeeinstellungen
SETTINGS_PAGE_AUDIO_HEADER_SOUND	Toneinstellungen

SETTINGS_PAGE_AUDIO_MASTER	Gesamtlautstärke
SETTINGS_PAGE_AUDIO_MAINBGM	Main Hintergrundmusik	-2
SETTINGS_PAGE_AUDIO_OTHERBGM	Andere Hintergrundmusik	-3
SETTINGS_PAGE_AUDIO_SYSTEM	System
SETTINGS_PAGE_AUDIO_SFX	Soundeffekte

SETTINGS_PAGE_AUDIO_ITEM_A	Spezielles Item A
SETTINGS_PAGE_AUDIO_ITEM_B	Spezielles Item B
SETTINGS_PAGE_AUDIO_ITEM_C	Spezielles Item C
