SUBCATEGORY_SHAPES_FACE	面部	+2
SUBCATEGORY_SHAPES_CHEEKS	脸颊	+2
SUBCATEGORY_SHAPES_EARS	耳朵	+2
SUBCATEGORY_SHAPES_JAW	下颌	+2
SUBCATEGORY_SHAPES_CHIN	下巴	+2
SUBCATEGORY_SHAPES_EYES	眼睛	+2
SUBCATEGORY_SHAPES_NOSE	鼻子	+2
SUBCATEGORY_SHAPES_MOUTH	嘴巴	+2
SUBCATEGORY_SHAPES_EXPRESSION	表情	+2

SUBCATEGORY_SHAPES_NECK	脖子	+2
SUBCATEGORY_SHAPES_TORSO	躯干	+2
SUBCATEGORY_SHAPES_WAIST	腰部	+2
SUBCATEGORY_SHAPES_HIPS	臀部	+2
SUBCATEGORY_SHAPES_ARMS	手臂	+2
SUBCATEGORY_SHAPES_LEGS	腿部	+2
SUBCATEGORY_SHAPES_PRIVATES	私处	+2

SUBCATEGORY_HAIR_FRONT	前发	+2
SUBCATEGORY_HAIR_SIDE	侧发	+2
SUBCATEGORY_HAIR_BACK	后发	+2
SUBCATEGORY_HAIR_EXT	扩展	+2

SUBCATEGORY_CLOTH_BRA	胸罩	+2
SUBCATEGORY_CLOTH_PANTIES	内裤	+2
SUBCATEGORY_CLOTH_SOCKS	袜子	+2
SUBCATEGORY_CLOTH_STOCKINGS	丝袜	+2
SUBCATEGORY_CLOTH_SHIRT	衬衫	+2
SUBCATEGORY_CLOTH_COAT	外套	+2
SUBCATEGORY_CLOTH_ONEPIECE	连体装	+2
SUBCATEGORY_CLOTH_SKIRT	裙子	+2
SUBCATEGORY_CLOTH_PANTS	裤子	+2
SUBCATEGORY_CLOTH_SHOES	鞋子	+2

SUBCATEGORY_STUDIO_BASICSHAPES	基础形状	+2
SUBCATEGORY_STUDIO_LIGHTS	灯光	+2
SUBCATEGORY_STUDIO_EFFECTS2D	2D效果	+2
SUBCATEGORY_STUDIO_EFFECTS3D	3D效果	+2
SUBCATEGORY_STUDIO_SMALLOBJECTS	小物品	+2
SUBCATEGORY_STUDIO_LARGEOBJECTS	大物品	+2
SUBCATEGORY_STUDIO_MISCOBJECTS	其他物品	+2
SUBCATEGORY_STUDIO_HRELATED	H相关物品	+2
SUBCATEGORY_STUDIO_FOODRELATED	食物相关物品	+2
SUBCATEGORY_STUDIO_CHARARELATED	角色相关物品	+2
SUBCATEGORY_STUDIO_FURNITURE	家具	+2
SUBCATEGORY_STUDIO_BUILDINGS	建筑	+2
SUBCATEGORY_STUDIO_GIMMICKS	好玩的物品	+2

SUBCATEGORY_ACC_HEAD	头	+2
SUBCATEGORY_ACC_NECK	颈	+2
SUBCATEGORY_ACC_UPPERBODY	上身	+2
SUBCATEGORY_ACC_LOWERBODY	下身	+2
SUBCATEGORY_ACC_ARMS	臂	+2
SUBCATEGORY_ACC_HANDS	手	+2
SUBCATEGORY_ACC_LEGS	腿	+2
SUBCATEGORY_ACC_FEET	脚	+2

SUBCATEGORY_TEXTURES_FACESKIN	面部皮肤	+2
SUBCATEGORY_TEXTURES_BODYSKIN	身体皮肤	+2

SUBCATEGORY_SETTINGS_CHARAPROFILE	角色简介	+2
SUBCATEGORY_SETTINGS_CHARACARDS	角色卡	+2
SUBCATEGORY_SETTINGS_OUTFITCARDS	服装卡	+2

SUBCATEGORY_SETTINGS_SCENESETTINGS	场景设置	+2
SUBCATEGORY_SETTINGS_STUDIOSETTINGS	工作室设置	+2
SUBCATEGORY_SETTINGS_MAPS	地图	+2
SUBCATEGORY_SETTINGS_SCENES	场景	+2

SUBCATEGORY_STUDIO_CHARASETTINGS_IK	IK	+2
SUBCATEGORY_STUDIO_CHARASETTINGS_IKCORR	IK更正	+2
SUBCATEGORY_STUDIO_CHARASETTINGS_IKPOSES	IK姿势	+2
SUBCATEGORY_STUDIO_CHARASETTINGS_EXPR	表情	+2
SUBCATEGORY_STUDIO_CHARASETTINGS_EYEHEAD	注视和头部控制	+2
SUBCATEGORY_STUDIO_CHARASETTINGS_CLOTHACC	服装和配件	+2

CATEGORY_HEAD	头部	+2
CATEGORY_BODY	身体	+2
CATEGORY_HAIR	发型	+2
CATEGORY_CLOTHES	服装	+2
CATEGORY_ACCESSORIES	配件	+2
CATEGORY_TEXTURES	纹理	+2
CATEGORY_SETTINGS	设置	+2
CATEGORY_OBJ	物品	+2
CATEGORY_OBJSETTINGS	物品设置	+2
CATEGORY_CHARASETTINGS	角色设置	+2
SUBCATEGORY_HAIR_SET	全发	+2
SUBCATEGORY_CLOTH_BOXERS	平角裤	+2
SUBCATEGORY_SHAPES_CHEST	胸部	+2
SUBCATEGORY_TEXTURES_NIPPLES	乳头	+2
SUBCATEGORY_TEXTURES_FACEOVERLAY	面部叠加	+2
SUBCATEGORY_TEXTURES_BODYOVERLAY	身体叠加	+2
SUBCATEGORY_TEXTURES_LIPS	Lips
SUBCATEGORY_SHAPES_EYEBROWS	Eyebrows
SUBCATEGORY_SHAPES_EYELIDS	Eyelids
