STUDIOOBJSETTINGS_PAGE_AUDIOSOURCE_GENERAL_TITLE	Allgemein
STUDIOOBJSETTINGS_PAGE_AUDIOSOURCE_SPATIAL_TITLE	Räumlich

STUDIOOBJSETTINGS_PAGE_AUDIOSOURCE_VOLUME	Lautstärke
STUDIOOBJSETTINGS_PAGE_AUDIOSOURCE_PLAYBACK	Wiedergabe
STUDIOOBJSETTINGS_PAGE_AUDIOSOURCE_REPEAT	Wiederholen
STUDIOOBJSETTINGS_PAGE_AUDIOSOURCE_STOP	Stop
STUDIOOBJSETTINGS_PAGE_AUDIOSOURCE_START	Start

STUDIOOBJSETTINGS_PAGE_AUDIOSOURCE_TOGGLE	Umschalten
STUDIOOBJSETTINGS_PAGE_AUDIOSOURCE_SPATIAL	Räumlich
STUDIOOBJSETTINGS_PAGE_AUDIOSOURCE_BLEND	Mischen
